id,date,event,creator_login
2142532249,2019-02-15 13:53:12,head_ref_deleted,gusaiani
2126828444,2019-02-08 11:23:27,subscribed,gusaiani
2126828443,2019-02-08 11:23:27,mentioned,gusaiani
2103300399,2019-01-29 10:55:59,head_ref_force_pushed,gusaiani
2103287979,2019-01-29 10:50:48,head_ref_force_pushed,gusaiani
2103277665,2019-01-29 10:46:30,head_ref_force_pushed,gusaiani
2103272472,2019-01-29 10:44:24,head_ref_force_pushed,gusaiani
2103270901,2019-01-29 10:43:45,renamed,gusaiani
2103270644,2019-01-29 10:43:39,head_ref_force_pushed,gusaiani
2080190993,2019-01-17 13:09:15,head_ref_deleted,gusaiani
1958677828,2018-11-11 01:58:54,subscribed,gusaiani
1958677827,2018-11-11 01:58:54,mentioned,gusaiani
1954459962,2018-11-08 14:45:13,subscribed,gusaiani
1954459961,2018-11-08 14:45:13,mentioned,gusaiani
1954303674,2018-11-08 13:42:58,head_ref_force_pushed,gusaiani
1813109182,2018-08-28 13:42:09,subscribed,gusaiani
1813109180,2018-08-28 13:42:09,mentioned,gusaiani
1813066862,2018-08-28 13:27:11,renamed,gusaiani
1802585921,2018-08-22 13:01:34,head_ref_force_pushed,gusaiani
1800181368,2018-08-21 13:42:01,subscribed,gusaiani
1800181367,2018-08-21 13:42:01,mentioned,gusaiani
1758656193,2018-07-28 20:12:00,head_ref_deleted,gusaiani
1758656189,2018-07-28 20:12:00,head_ref_deleted,gusaiani
1758656188,2018-07-28 20:11:59,head_ref_deleted,gusaiani
1758656144,2018-07-28 20:11:51,head_ref_deleted,gusaiani
1758656142,2018-07-28 20:11:50,head_ref_deleted,gusaiani
1758656137,2018-07-28 20:11:49,head_ref_deleted,gusaiani
1758656136,2018-07-28 20:11:49,head_ref_deleted,gusaiani
1758656127,2018-07-28 20:11:47,head_ref_deleted,gusaiani
1757364557,2018-07-27 14:09:51,head_ref_force_pushed,gusaiani
1452775600,2018-02-01 11:36:48,head_ref_force_pushed,gusaiani
1395996062,2017-12-20 12:26:50,subscribed,gusaiani
1395996061,2017-12-20 12:26:50,mentioned,gusaiani
1228929819,2017-08-31 06:33:35,head_ref_deleted,gusaiani
1228929794,2017-08-31 06:33:34,head_ref_deleted,gusaiani
1228929781,2017-08-31 06:33:33,head_ref_deleted,gusaiani
1228929766,2017-08-31 06:33:32,head_ref_deleted,gusaiani
1228929551,2017-08-31 06:33:18,head_ref_deleted,gusaiani
1228929503,2017-08-31 06:33:16,head_ref_deleted,gusaiani
1228929466,2017-08-31 06:33:14,head_ref_deleted,gusaiani
1228929341,2017-08-31 06:33:08,head_ref_deleted,gusaiani
1228929313,2017-08-31 06:33:07,head_ref_deleted,gusaiani
1221069141,2017-08-25 08:14:22,subscribed,gusaiani
1221069140,2017-08-25 08:14:22,mentioned,gusaiani
1207834509,2017-08-16 08:36:03,head_ref_deleted,gusaiani
1207818347,2017-08-16 08:25:10,subscribed,gusaiani
1207818346,2017-08-16 08:25:10,mentioned,gusaiani
1207682920,2017-08-16 06:39:35,head_ref_deleted,gusaiani
1207682904,2017-08-16 06:39:33,head_ref_deleted,gusaiani
1207682879,2017-08-16 06:39:32,head_ref_deleted,gusaiani
1207682853,2017-08-16 06:39:30,head_ref_deleted,gusaiani
1207682801,2017-08-16 06:39:27,head_ref_deleted,gusaiani
1192916747,2017-08-04 10:27:20,subscribed,gusaiani
1192916746,2017-08-04 10:27:20,mentioned,gusaiani
1182275640,2017-07-27 18:18:14,subscribed,gusaiani
1182275639,2017-07-27 18:18:14,mentioned,gusaiani
1164381034,2017-07-14 14:28:47,subscribed,gusaiani
1164381033,2017-07-14 14:28:47,mentioned,gusaiani
1163123113,2017-07-13 18:41:58,subscribed,gusaiani
1163123112,2017-07-13 18:41:58,mentioned,gusaiani
921005598,2017-01-12 16:40:29,subscribed,gusaiani
921005595,2017-01-12 16:40:29,mentioned,gusaiani
906014020,2016-12-27 21:07:07,head_ref_deleted,gusaiani
905870215,2016-12-27 17:16:10,subscribed,gusaiani
905870213,2016-12-27 17:16:10,mentioned,gusaiani
881941676,2016-12-05 12:11:47,head_ref_deleted,gusaiani
881939093,2016-12-05 12:09:19,closed,gusaiani
881873495,2016-12-05 11:09:15,head_ref_deleted,gusaiani
881873486,2016-12-05 11:09:14,head_ref_deleted,gusaiani
881873316,2016-12-05 11:09:06,head_ref_deleted,gusaiani
881873310,2016-12-05 11:09:05,head_ref_deleted,gusaiani
881873293,2016-12-05 11:09:04,head_ref_deleted,gusaiani
881873285,2016-12-05 11:09:04,head_ref_deleted,gusaiani
881873284,2016-12-05 11:09:04,head_ref_deleted,gusaiani
868684494,2016-11-22 18:53:56,subscribed,gusaiani
868684493,2016-11-22 18:53:56,mentioned,gusaiani
865349206,2016-11-19 14:10:09,head_ref_deleted,gusaiani
865349198,2016-11-19 14:10:04,head_ref_deleted,gusaiani
865349196,2016-11-19 14:10:03,head_ref_deleted,gusaiani
865349193,2016-11-19 14:10:03,head_ref_deleted,gusaiani
865349185,2016-11-19 14:10:02,head_ref_deleted,gusaiani
861290233,2016-11-16 15:57:16,subscribed,gusaiani
861290232,2016-11-16 15:57:16,mentioned,gusaiani
852944971,2016-11-09 13:07:06,subscribed,gusaiani
852944970,2016-11-09 13:07:06,mentioned,gusaiani
852857901,2016-11-09 11:41:59,head_ref_deleted,gusaiani
