gfosco,2,3,3,4,2,9,10,2,3,8,6,6,3,5,2,5,3,11,7,4,14,3,2,26,4,9,13,7,7,11,2,5,3,2,14,8,27,7,3,5,4,2,5,8,21,2,22,14,4,5,29,22,3,9,3,14,12,4,24,13,7,7,2,2,2,4,2,5,8,2,7,19,31,14,35,53,21,3,10,757,0.14795244385733158
SammyK,5,2,10,7,13,4,2,8,3,24,3,11,9,11,11,6,29,26,4,2,7,4,8,2,2,3,45,6,6,3,7,14,27,22,12,2,5,56,27,49,2,6,2,7,11,112,61,21,15,2,3,2,72,3,13,7,44,2,3,13,15,38,7,4,16,91,94,24,321,3,1529,0.05755395683453238
JoelMarcey,1,1.0
carlsonorozco,1,1.0
yguedidi,4,6,2,49,9,5,2,160,34,9,5,275,407,82,97,3,4,11,141,2,70,11,260,2,6,2,18,1685,0.021364985163204748
bartekn,2,1.0
wlepinski,1,1.0
danielegrosso,7,8,0.25
dfabulich,1,1.0
DaMouse404,1,1.0
buzzedword,1,1.0
ahsanity,1,1.0
irfanevrens,1,1.0
arturluizbr,10,11,0.18181818181818182
niraj-shah,254,255,0.00784313725490196
Ashpants,1,1.0
itsgoingd,1,1.0
sarciszewski,244,245,0.00816326530612245
rajbdilip,13,14,0.14285714285714285
micressor,1,1.0
adamelso,1,1.0
complex857,1,1.0
GrahamCampbell,1,1.0
keyvanakbary,2,1.0
nickescobedo,1,1.0
vlajos,1,1.0
geodeveloper,1,1.0
chapsuk,1,1.0
SingularityGuy,2,1.0
villav,6,8,0.375
rpalladino,1,1.0
txptr,2,1.0
anorgan,1,1.0
localheinz,316,4,105,426,0.009389671361502348
tw2113,1,1.0
leonar15,1,1.0
franmomu,1,1.0
guidolodetti,3,4,0.5
EmanueleMinotto,6,5,2,103,121,0.0743801652892562
tlshaheen,2,1.0
rdohms,1,1.0
koenpunt,1,1.0
francimedia,1,1.0
DragonBe,2,1.0
paragonie-scott,1,1.0
jfreed,2,1.0
danielfleck,1,1.0
paddyohanlon,1,1.0
diegoquinteiro,2,3,0.6666666666666666
tolbon,406,130,27,79,643,0.007776049766718507
NinoSkopac,1,1.0
voku,1,1.0
KuceraMartin,1,1.0
viv001,1,1.0
MacDada,1,1.0
smatyas,1,1.0
phelipealves,1,1.0
flod1,1,1.0
tituskeuler,1,1.0
teldosas,28,13,43,0.09302325581395349
alexndreazevedo,1,1.0
qpautrat,1,1.0
freekmurze,1,1.0
klausbreyer,1,1.0
emirb,1,1.0
theDanielK,1,1.0
sergeychernyshev,1,1.0
eddieace,317,318,0.006289308176100629
h4kuna,1,1.0
Dylan-DPC,1,1.0
dojobo,1,1.0
gnat42,1,1.0
flarnie,1,1.0
ryanml,1,1.0
martinstuecklschwaiger,30,31,0.06451612903225806
carusogabriel,1,1.0
andreybolonin,1,1.0
phaizullin,32,140,173,0.017341040462427744
foaly-nr1,1,1.0
